formula,model_no,REML,R2,df,AIC,deviance_explained
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, by = basin, bs = base, k = 10) + s(year, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + basin + s(other_herring, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",3,-10807.5,0.202,83.7,-30268.1,-1086.9
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = year, bs = base, k = 10) + s(basin, by = year, bs = ""re"", k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + year + s(other_herring, bs = base, k = 8) + SOG.Herring + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + coho.ab + sockeye.ab + s(RR.SSTOut, bs = base, k = 8) + Chla.JDF + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",7,-20553.1,0.169,15.9,-57690.3,55.8
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = year, bs = base, k = 10) + s(basin, by = year, bs = ""re"", k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + year + s(other_herring, bs = base, k = 8) + SOG.Herring + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + coho.ab + sockeye.ab + s(RR.SSTOut, bs = base, k = 8) + Chla.JDF + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",2,-20555.2,0.168,16,-57691.4,55.8
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, bs = base, k = 12) + s(atlantis_pred_group, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + SOG.Herring + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + coho.ab + +s(sockeye.ab, bs = base, k = 8) + sockeye.ab + s(RR.SSTOut, bs = base, k = 8) + Chla.JDF + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",6,-20558.1,0.169,14.8,-57692,55.8
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, bs = base, k = 12) + s(atlantis_pred_group, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + SOG.Herring + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + coho.ab + sockeye.ab + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + Chla.JDF + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",1,-20560.1,0.168,14.8,-57692.8,55.8
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(year, bs = base, k = 10) + s(predator_size, bs = base, k = 10) + s(basin, by = atlantis_pred_group, bs = ""re"", k = 10) + atlantis_pred_group + s(other_herring, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + UPW + s(MEI, bs = base, k = 8)",10,-20573.5,0.189,41.4,-57693.2,56.5
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(year, bs = base, k = 10) + s(predator_size, bs = base, k = 10) + s(basin, by = atlantis_pred_group, bs = ""re"", k = 10) + atlantis_pred_group + s(other_herring, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + UPW + s(MEI, bs = base, k = 8)",5,-20575.1,0.19,41.9,-57693.9,56.5
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, by = basin, bs = base, k = 10) + s(year, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + basin + s(other_herring, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",8,-20612,0.227,13.9,-57760.3,55.5
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(year, by = basin, bs = base, k = 10) + s(predator_size, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + basin + year + s(other_herring, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",9,-20607.9,0.228,14.5,-57760.5,55.6
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(year, by = basin, bs = base, k = 10) + s(predator_size, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + basin + year + s(other_herring, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",4,-20609.2,0.231,15,-57770.4,55.5
