formula,model_no,REML,R2,df,AIC,deviance_explained
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, bs = base, k = 12) + s(atlantis_pred_group, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",1,-20582.3,0.144,13.6,-57672.6,56
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = year, bs = base, k = 12) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(basin, by = year, bs = ""re"", k = 10) + year + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",2,-20577.7,0.145,14.4,-57672.7,56.1
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, by = basin, bs = base, k = 12) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(year, by = basin, bs = base, k = 10) + basin + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",3,-10805.8,0.224,47.6,-30202.9,-982.4
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(predator_size, by = basin, bs = base, k = 12) + s(year, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + basin + year + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",4,-20609.4,0.232,14.5,-57771.4,55.5
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, bs = base, k = 12) + s(atlantis_pred_group, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",5,-20580.6,0.14,12.8,-57668.9,56
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = year, bs = base, k = 12) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(basin, by = year, bs = ""re"", k = 10) + year + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",6,-20575.9,0.14,14,-57668.6,56.1
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, by = basin, bs = base, k = 12) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(year, by = basin, bs = base, k = 10) + basin + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",7,-20611.8,0.226,12.9,-57758.7,55.5
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(predator_size, by = basin, bs = base, k = 12) + s(year, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + basin + year + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",8,-20607.8,0.227,13.7,-57759.8,55.5
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(year, bs = base, k = 10) + s(predator_size, bs = base, k = 12) + s(basin, by = atlantis_pred_group, bs = ""re"", k = 10) + atlantis_pred_group + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",9,-20577.3,0.171,40.9,-57685.8,56.7
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(year, bs = base, k = 10) + s(predator_size, bs = base, k = 12) + s(basin, by = atlantis_pred_group, bs = ""re"", k = 10) + atlantis_pred_group + s(PC1, bs = base, k = 8) + s(PC2, bs = base, k = 8) + s(PC3, bs = base, k = 8) + s(PC4, bs = base, k = 8) + s(PC5, bs = base, k = 8) + s(PC6, bs = base, k = 8)",10,-20575.6,0.172,40.2,-57686,56.6
