formula,model_no,REML,R2,df,AIC,deviance_explained
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, bs = base, k = 10) + s(atlantis_pred_group, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",1,-20587.1,0.161,12.8,-57684.80677423672,55.8
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = year, bs = base, k = 10) + s(basin, by = year, bs = ""re"", k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + Orcas + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + +s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",2,-20583.9,0.163,15.1,-57690.53236859227,56
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, by = basin, bs = base, k = 10) + s(year, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",3,-20622.8,0.23,7.6,-57781.25421885737,55.5
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(year, by = basin, bs = base, k = 10) + s(predator_size, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",4,-20622.8,0.23,7.6,-57781.527463881794,55.5
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(year, bs = base, k = 10) + s(predator_size, bs = base, k = 10) + s(basin, by = atlantis_pred_group, bs = ""re"", k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",5,-20578.7,0.172,27.7,-57680.44036866332,56.4
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(predator_size, bs = base, k = 12) + s(atlantis_pred_group, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",6,-20585.8,0.163,13.2,-57686.56866527699,55.9
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = year, bs = base, k = 10) + s(basin, by = year, bs = ""re"", k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",7,-20585.9,0.162,13.1,-57686.645570234745,55.8
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(predator_size, by = basin, bs = base, k = 10) + s(year, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",8,-20621.3,0.22,6.8,-57766.528751589,55.6
"proportion_sc ~ s(longitude, latitude, by = year, bs = base, k = 100) + s(atlantis_pred_group, by = basin, bs = ""re"", k = 10) + s(year, by = basin, bs = base, k = 10) + s(predator_size, by = basin, bs = base, k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(basin, bs = ""re"", k = 10) + s(year, bs = base, k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",9,-20621.3,0.22,6.8,-57766.497803847415,55.6
"proportion_sc ~ s(longitude, latitude, bs = base, k = 100) + s(year, bs = base, k = 10) + s(predator_size, bs = base, k = 10) + s(basin, by = atlantis_pred_group, bs = ""re"", k = 10) + s(atlantis_pred_group, by = year, bs = ""re"", k = 10) + s(other_herring, bs = base, k = 8) + s(cherry_point, bs = base, k = 8) + s(SOG.Herring, bs = base, k = 8) + s(chum.ab, bs = base, k = 8) + s(chinook.ab, bs = base, k = 8) + s(coho.ab, bs = base, k = 8) + s(sockeye.ab, bs = base, k = 8) + s(steelhead.ab, bs = base, k = 8) + s(pink.ab, bs = base, k = 8) + s(Seals.Nelson, bs = base, k = 8) + s(Orcas, bs = base, k = 8) + s(PDO, bs = base, k = 8) + s(RR.SSTOut, bs = base, k = 8) + s(Chla.JDF, bs = base, k = 8) + s(FraserFlow.Out, bs = base, k = 8) + s(PNI, bs = base, k = 8) + s(NPGO, bs = base, k = 8) + s(UPW, bs = base, k = 8) + s(MEI, bs = base, k = 8)",10,-20593,0.173,20.2,-57717.444866441714,56.4
