atlantis_pred_group,group_name
DC,Carrion
DL,Labile detritus
DR,Refractory detritus
BB,Benthic bacteria
PB,Pelagic bacteria
PL,Large phytoplankton
PS,Small phytoplankton
MA,macroalgae
SG,Seagrass
ZS,Microzooplankton
ZD,Noctiluca
ZM,Mesozooplankton
ZL,Large zooplankton
ZG,Gelatinous zooplankton
SQX,Squid
BMD,Deep macro-zoobenthos
BD,Deposit feeders
BG,Benthic grazers
BMS,Octopi
DUN,Dungeness crab
BML,Crabs
PWN,Shrimp
BFF,Benthic filter feeder
BIV,Bivalves
GEC,Geoducks
BC,carnivorous infauna
HE1,Pacific Herring Puget Sound
HE2,Pacific Herring Cherry Point
FPS,Small Planktivorous Fish
POP,Perch
CI1,Chinook Hatch Yearling
CI2,Chinook Hatch Subyearling
CI3,Chinook Skagit Yearling
CI4,Chinook Skagit Subyearling
CI5,Chinook Snohomish Subyearling
CI6,Chinook Duwamish Subyearling
CI7,Chinook Nisqually Yearling
CI8,Chinook Nisqually Subyearling
CI9,Chinook Hood Canal Subyearling
CI10,Chinook other Yearling
CI11,Chinook other Subyearling
CO1,Coho Hatch Yearling
CO2,Coho Skagit Yearling
CO3,Coho Deep South Yearling
CO4,Coho other Yearling
CU1,Chum Hatch Subyearling
CU2,Chum Fall Subyearling
CU3,Chum Hood Canal summer run Subyearling
PIS,Pink Salmon Subyearling
SAL,Other salmonids
SAF,Strait of Georgia salmonids
FMM,Hake /Large gadoids
FVS,Large demersal predators
ROC,Demersal rockfish
MRO,Midwater rockfish
DVR,Demersal vulnerable rockfish
MVR,Midwater vulnerable rockfish
SMD,Small demersal fish
FDF,Small-mouthed Flatfish
HAP,Piscivorous flatfish
DOG,Spiny dogfish
SBL,Sixgill Shark
SSK,Skates
RAT,Ratfish
SB,Seabirds (piscivorous)
SP,Seabirds (mainly non-piscivorous)
BE,Raptors
HSL,Harbor seals
CSL,California sea lions
PIN,Steller sea lions
PHR,Harbor porpoise
ORC1,Resident Orca
ORC2,Transient Orca
HUW,Humpbacks whale
CI,Chinook
CO,Coho
CU,Chum
INSECT, insects
HE,Herring
SALMON, salmon
CIH, Hatchery Chinook
COH, Hatchery coho
MYC, Myctophids
ROR, Souther Resident orcas
ST, Steelhead
