FILE,CITA
BD_BIV_Harvey_et_al_2010, "Harvey, C.J., Bartz, K.K., Davies, J.R., Francis, T.B., Good, T.P., Guerry, A.D., Hanson, B., Holsman, K.K., Miller, J.J.J., Plummer, M.L. and Reum, J.C.P. (2010). A mass-balance model for evaluating food web structure and community-scale indicators in the central basin of Puget Sound. U.S. Dept. Commer., NOAA Tech. Memo. NMFS-NWFSC-106, 180 p."
BFF_Navarrete_&_Wieters_2000,"Navarrete, S. A., & Wieters, E. A. (2000). Variation in barnacle recruitment over small scales: larval predation by adults and maintenance of community pattern. Journal of experimental marine biology and ecology, 253(2), 131-148."
BG_Elahi_2013,"Elahi, R. (2013). Diversity and structure of subtidal rock walls in the Salish Sea: the roles of grazing, oceanography, and long-term change (Doctoral dissertation)."
BG_Yates_1989,"Yates, K. R. (1989). The feeding ecology of the gumboot chiton, Cryptochiton stelleri (Middendorff, 1846)."
BMD_Hoover_et_al_2012,"Hoover, R. A., Armour, R., Dow, I., & Purcell, J. E. (2012). Nudibranch predation and dietary preference for the polyps of Aurelia labiata (Cnidaria: Scyphozoa). In:Jellyfish Blooms IV (pp. 199-213). Springer, Dordrecht."
BMD_Mauzey_et_al_1968,"Mauzey, K. P., Birkeland, C., & Dayton, P. K. (1968). Feeding behavior of asteroids and escape responses of their prey in the Puget Sound region. Ecology, 49(4), 603-619."
BMD_Palmer_1988,"Palmer, A. R. (1988). Feeding biology of Ocenebra lurida (Prosobranchia: Muricacea): diet, predator-prey size relations, and attack behavior. Veliger, 31(3-4), 192-203."
BMD_Shivji_et_al_1983,"Shivji, M., Parker, D., Hartwick, B., Smith, M. J., & Sloan, N. A. (1983). Feeding and distribution study of the sunflower sea star Pycnopodia helianthoides (Brandt, 1835)."
BMD_Sloan_&_Robinson_1983,"Sloan, N. A., & Robinson, S. M. C. (1983). Winter feeding by asteroids on a subtidal sandbed in British Columbia. Ophelia, 22(2), 125-140."
BMS_Anderson_et_al_1999,"Anderson, R. C., Hughes, P. D., Mather, J. A., & Steele, C. W. (1999). Determination of the diet of Octopus rubescens Berry, 1953 (Cephalopoda: Octopodidae), through examination of its beer bottle dens in Puget Sound. Malacologia, 41(2), 455-460."
BMS_Scheel_&_Anderson_2012,"Scheel, D., & Anderson, R. (2012). Variability in the diet specialization of Enteroctopus dofleini (Cephalopoda: Octopodidae) in the eastern Pacific examined from midden contents. American Malacological Bulletin, 30(2), 267-280."
DOG_Beamish_&_Sweeting,"Beamish, R. J., & Sweeting, R. M. (2009). Spiny dogfish in the pelagic waters of the Strait of Georgia and Puget Sound. Biology and management of dogfish sharks. Am. Fish. Soc., Bethesda, Maryland, 101-118."
DOG_Brodeur_et_al_2009,"Brodeur, R. D., Fleming, I. A., Bennett, J. M., & Campbell, M. A. (2009). Summer distribution and feeding of spiny dogfish off the Washington and Oregon coasts. Biology and management of dogfish sharks. Edited by VF Gallucci, GA McFarlane, and GG Bargmann. American Fisheries Society, Bethesda, Md, 39-51."
DOG_Jones_1976_V2,"Jones, B. C., & Geen, G. H. (1977). Food and feeding of spiny dogfish (Squalus acanthias) in British Columbia waters. Journal of the Fisheries Board of Canada, 34(11), 2056-2066."
DOG_Jones_1976,"Jones, B. C. (1976). Feeding, growth, and reproduction of spiny dogfish.(Squalus Acanthias L.) in British Columbia waters.--(Doctoral dissertation, Simon Fraser University. Theses (Dept. of Biological Sciences))."
DUN_Amstrong_et_al_1981,"Armstrong, D. A., Stevens, B. G., & Hoeman, J. C. (1981). Distribution and abundance of Dungeness crab and Crangon shrimp, and dredging-related mortality of invertebrates and fish in Grays Harbor, Washington."
DUN_Butler_1954,"Butler, T. H. (1954). Food of the commercial crab in the Queen Charlotte Islands region. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations, report, (99), 3-5."
DUN_Gotshall_1977,"Gotshall, D. W. (1977). Stomach contents of northern California Dungeness crabs, Cancer magister. California Fish and Game, 63, 43-51."
Dunford_1972,"Dunford, W. E. (1975). Space and food utilization by salmonids in marsh habitats of the Fraser River estuary (Doctoral dissertation, University of British Columbia)."
FDF_Simenstad_et_al_1991,"Simenstad, C. A., Cordell, J. R., & Weitkamp, L. A. (1991). Effects of substrate modification on littoral flat meiofauna: assemblage structure changes associated with adding gravel. Wetland Ecosystem Team, Fisheries Research Institute, University of Washington."
FISH_Barraclough_Fulton_1967,"Barraclough, W. E., Canadian Committee on Oceanography, Fisheries Research Board of Canada. Biological Station (Nanaimo, BC), Fulton, J. D., & Pacific Oceanographic Group (Canada). (1967). Data Record: Number, Size Composition and Food of Larval and Juvenile Fish Caught with a Two-boat Surface Trawl in the Strait of Georgia, July 4-8, 1966. Nanaimo, BC: Pacific Oceanographic Group."
FISH_Barraclough_&_Fulton_1968,"Fisheries Research Board of Canada, Barraclough, W. E., & Fulton, J. M. (1969). Data Record Food of Larval and Juvenile Fish Caught With a Surface Trawl in Saanich Inlet During June and July 1966."
FISH_Barraclough_et_al_1968,"Barraclogh, W. E. (1968). Data record. Number, size composition, weight, and food of larval and juvenile fish caught with a two-boat surface trawl in Saanich Inlet April 23-July 21, 1968. Fish. Res. Board Can. MS Rep., 1004, 1-305."
Fish_Bax_et_al_1978,"University of Washington. Fisheries Research Institute, & Bax, N. J. (1978). Salmonid Outmigration Studies in Hood Canal: Final Report, Phase III, January to July 1977. The Institute."
Fish_Brodeur_et_al_1987_C,"Brodeur, R. D., Lorz, H. V., & Pearcy, W. G. (1987). Food habits and dietary variability of pelagic nekton off Oregon and Washington, 1979-1984."
Fish_Brodeur_et_al_1987_D,"Brodeur, R. D., Lorz, H. V., & Pearcy, W. G. (1987). Food habits and dietary variability of pelagic nekton off Oregon and Washington, 1979-1984."
Fish_Fresh_et_al_1979,"Fresh, K. L., Rabin, D., Simenstad, C., Salo, E. O., Garrison, K., & Matheson, L. (1979). Fish ecology studies in the Nisqually Reach area of southern Puget Sound, Washington. Fisheries Research Institute publication FRI-UW-7904. University of Washington, School of Fisheries, Seattle."
Fish_Hueckel_Buckley_1987,"Hueckel, G. J., & Buckley, R. M. (1987). The influence of prey communities on fish species assemblages on artificial reefs in Puget Sound, Washington. Environmental Biology of Fishes, 19(3), 195-214."
Fish_Hueckerl_&_Stayton_1982,"Hueckel, G. J., & Stayton, R. L. (1982). Fish foraging on an artificial reef in Puget Sound, Washington. Marine Fisheries Review, 44(6), 38-44."
Fish_Miller_et_al_1977_B,"Miller, B. S., Simenstad, C. A., Moulton, L. R., Fresh, K. L., Funk, F. C., Karp, W. A., & Borton, S. F. (1977). Final Report, Puget Sound Baseline Program-Nearshore Fish Survey. Fisheries Research Institute, University of Washington-7710."
Fish_Miller_et_al_1980_B,"Cross, J. N., Steinfort, S. N., Fresh, K. L., Miller, B. S., & Simenstad, C. A. (1980). Nearshore fish and macroinvertebrate assemblages along the Strait of Juan de Fuca including food habits of the common nearshore fish."
Fish_Miller_et_al_2002,"Miller, M. C., Williams, G. D., O'Rourke, L. K., Southard, J. A., & Blanton, S. L. (2002). Effects of Shoreline Hardening and Shoreline Protection Features on Fish Utilization and Behavior at Washaway Beach, Washington (Report 2) (No. PNNL-13635-(2)). Pacific Northwest National Lab.(PNNL), Richland, WA (United States)."
Fish_Peeling_et_al_1976,"Peeling, T. J., Salazar, M. H., Grovhoug, J. G., & Goforth, H. W. (1976). Trident Biological Survey: July 1976 (No. NUC-TP-510-SUPPL-1). NAVAL UNDERSEA CENTER SAN DIEGO CALIF."
