longitude,latitude,nrowid,atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,proportion,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,predator_taxa,basin
-123.90991666666667,49.166805555555555,1,DOG,juvenile,HE,Herring,Clupea sp.,0.0050200803212851405,Off Nanaimo,1974,Jones,1977,per_consumption,230,mm,stomachs,Squalus acanthias,Strait of Georgia
-123.90991666666667,49.166805555555555,2,DOG,juvenile,HE,Herring,Clupea sp.,0.1082737487231869,Off Nanaimo,1974,Jones,1977,per_consumption,620,mm,stomachs,Squalus acanthias,Strait of Georgia
-123.90991666666667,49.166805555555555,3,DOG,juvenile,HE,Herring,Clupea sp.,0.10607621009268796,Off Nanaimo,1974,Jones,1977,per_consumption,860,mm,stomachs,Squalus acanthias,Strait of Georgia
-123.90991666666667,49.166805555555555,4,DOG,adult,HE,Herring,Clupea sp.,0.0037220843672456576,Off Nanaimo,1974,Jones,1977,per_consumption,780,mm,stomachs,Squalus acanthias,Strait of Georgia
-123.90991666666667,49.166805555555555,5,DOG,adult,HE,Herring,Clupea sp.,0.16016427104722789,Off Nanaimo,1974,Jones,1977,per_consumption,930,mm,stomachs,Squalus acanthias,Strait of Georgia
-123.54827777777777,48.65275,6,ST,juvenile,HE,Clupea pallasii,Clupea pallasii,0.08695652173913043,Mill Bay,1968,Barraclough,1968,no_prey,190,mm,stomachs,Salmo gairdnerii,Strait of Georgia
-123.51441666666666,48.61591666666667,7,CO,juvenile,HE,Clupea pallasii,Clupea pallasii,0.023809523809523808,Tozier Rock,1968,Barraclough,1968,no_prey,125,mm,stomachs,Oncorhynchus kisutch,Strait of Georgia
-123.50308333333334,48.66030555555555,8,CO,juvenile,HE,Clupea pallasii,Clupea pallasii,0.041666666666666664,Centre Tow,1968,Barraclough,1968,no_prey,149,mm,stomachs,Oncorhynchus kisutch,Strait of Georgia
-123.34166666666667,48.85,9,PIS,juvenile,HE,Fish,Clupea pallasii,0.013071895424836602,Village Bay,1966,Barraclough,1967,no_prey,84,mm,stomachs,Oncorhynchus gorbuscha,San Juan Archipelago
-123.34166666666667,48.85,10,PIS,juvenile,HE,Fish,Clupea pallasii,0.6363636363636364,Village Bay,1966,Barraclough,1967,no_prey,92,mm,stomachs,Oncorhynchus gorbuscha,San Juan Archipelago
-123.34166666666667,48.85,11,PIS,juvenile,HE,Fish,Clupea pallasii,0.5,Village Bay,1966,Barraclough,1967,no_prey,98,mm,stomachs,Oncorhynchus gorbuscha,San Juan Archipelago
-123.34166666666667,48.85,12,PIS,juvenile,HE,Fish,Clupea pallasii,0.1891891891891892,Village Bay,1966,Barraclough,1967,no_prey,117,mm,stomachs,Oncorhynchus gorbuscha,San Juan Archipelago
-123.34166666666667,48.862500000000004,13,CU,juvenile,HE,Fish,Clupea pallasii,0.06666666666666667,Active Pass,1966,Barraclough,1967,no_prey,96,mm,stomachs,Oncorhynchus keta,San Juan Archipelago
-123.34166666666667,48.862500000000004,14,CU,juvenile,HE,Fish,Clupea pallasii,0.03636363636363636,Active Pass,1966,Barraclough,1967,no_prey,110,mm,stomachs,Oncorhynchus keta,San Juan Archipelago
-123.30833333333334,48.855555555555554,15,PIS,juvenile,HE,Fish,Clupea pallasii,0.015053763440860216,Strait of Georgia,1966,Barraclough,1967,no_prey,88,mm,stomachs,Oncorhynchus gorbuscha,Strait of Georgia
-123.30833333333334,48.855555555555554,16,PIS,juvenile,HE,Fish,Clupea pallasii,0.030303030303030304,Strait of Georgia,1966,Barraclough,1967,no_prey,91,mm,stomachs,Oncorhynchus gorbuscha,Strait of Georgia
-123.30833333333334,48.855555555555554,17,PIS,juvenile,HE,Fish,Clupea pallasii,0.033783783783783786,Strait of Georgia,1966,Barraclough,1967,no_prey,99,mm,stomachs,Oncorhynchus gorbuscha,Strait of Georgia
-123.30833333333334,48.855555555555554,18,PIS,juvenile,HE,Fish,Clupea pallasii,0.08450704225352113,Strait of Georgia,1966,Barraclough,1967,no_prey,103,mm,stomachs,Oncorhynchus gorbuscha,Strait of Georgia
-123.30833333333334,48.855555555555554,19,PIS,juvenile,HE,Fish,Clupea pallasii,0.20161290322580644,Strait of Georgia,1966,Barraclough,1967,no_prey,121,mm,stomachs,Oncorhynchus gorbuscha,Strait of Georgia
-123.30833333333334,48.855555555555554,20,PIS,juvenile,HE,Fish,Clupea pallasii,0.018292682926829267,Strait of Georgia,1966,Barraclough,1967,no_prey,93,mm,stomachs,Oncorhynchus gorbuscha,Strait of Georgia
