atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,proportion,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,predator_taxa,latitude,longitude
DOG,juvenile,HE,Herring,Clupea sp.,0.0050200803212851405,Off Nanaimo,1974,Jones,1977,per_consumption,230,mm,stomachs,Squalus acanthias,49.166805555555555,-123.90991666666667
DOG,juvenile,HE,Herring,Clupea sp.,0.1082737487231869,Off Nanaimo,1974,Jones,1977,per_consumption,620,mm,stomachs,Squalus acanthias,49.166805555555555,-123.90991666666667
DOG,juvenile,HE,Herring,Clupea sp.,0.10607621009268796,Off Nanaimo,1974,Jones,1977,per_consumption,860,mm,stomachs,Squalus acanthias,49.166805555555555,-123.90991666666667
DOG,adult,HE,Herring,Clupea sp.,0.0037220843672456576,Off Nanaimo,1974,Jones,1977,per_consumption,780,mm,stomachs,Squalus acanthias,49.166805555555555,-123.90991666666667
DOG,adult,HE,Herring,Clupea sp.,0.16016427104722789,Off Nanaimo,1974,Jones,1977,per_consumption,930,mm,stomachs,Squalus acanthias,49.166805555555555,-123.90991666666667
SMD,adult,HE,Teleostei,Clupeidae,0.032248074019588846,Hood Canal,1977,Bax,1978,freq_occurrence,NA,mm,stomachs,Leptocottus armatus,47.6695,-122.86641666666667
CI,juvenile,HE,Teleostei,Clupeidae,0.09090371771381289,Hood Canal,1977,Bax,1978,freq_occurrence,267,mm,stomachs,Oncorhynchus tshawytscha,47.6695,-122.86641666666667
SMD,adult,HE,Clupeidae,Clupeidae,0.006392545641692398,Puget Sound,1978,K. L. Fresh,1979,freq_occurrence,NA,mm,stomachs,Leptocottus armatus,47.11333333333334,-122.70919444444445
ROC,adult,HE,Teleostei,Clupea harengus pallasii,0.012533572068039392,Edmonds,1976,Hueckel,1987,IRI,NA,mm,stomachs,Sebastes maliger,47.83963888888889,-122.37969444444444
ROC,adult,HE,Teleostei,Clupea harengus pallasii,0.043659043659043655,Edmonds,1976,Hueckel,1987,IRI,NA,mm,stomachs,Sebastes caurinus,47.83963888888889,-122.37969444444444
FVS,adult,HE,Fish,Clupea harengus pallasii,0.0850850850850851,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Ophiodon elongatus,47.61425,-122.44011111111112
ROC,adult,HE,Fish,Clupea harengus pallasii,0.7535070140280561,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Sebastes melanops,47.61425,-122.44011111111112
FVS,adult,HE,Fish,Clupea harengus pallasii,0,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Scorpaenichthys marmoratus,47.61425,-122.44011111111112
SMD,adult,HE,Fish,Clupea harengus pallasii,0,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Hexagrammos decagrammus,47.61425,-122.44011111111112
ROC,adult,HE,Fish,Clupea harengus pallasii,0,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Sebastes auriculatus,47.61425,-122.44011111111112
