taxa_predator,new_name,scientific_name
Arctic Loon,Arctic loon,Gavia arctica
Black rockfish,Black rockfish,Sebastes melanops
Brandt's cormorant,Brandt's cormorant,Phalacrocorax penicillatus
Brown rockfish,Brown rockfish,Sebastes auriculatus
Buffalo sculpin,Buffalo sculpin,Enophrys bison
Cabezon,Cabezon,Scorpaenichthys marmoratus
Zalophus californianus,California sea lion,Zalophus californianus
Cancer,Cancer crab,Cancer crab
Caspian Tern,Caspian tern,Hydroprogne caspia
Cetacea,Cetacea,Cetacea
Chinook salmon,Chinook salmon,Oncorhynchus tshawytscha
Oncorhynchus tshawytscha,Chinook salmon,Oncorhynchus tshawytscha
Spring salmon,Chinook salmon,Oncorhynchus tshawytscha
Chondrichthyes,Chondrichthyes,Chondrichthyes
Chordata,Chordata,Chordata
Oncorhynchus keta,Chum salmon,Oncorhynchus keta
Chum salmon,Chum salmon,Oncorhynchus keta
C-O sole,C-O sole,Pleuronichthys coenosus
Coastal Cutthroat,Coastal cutthroat,Oncorhynchus clarkii
Coho salmon,Coho salmon,Oncorhynchus kisutch
Oncorhynchus kisutch,Coho salmon,Oncorhynchus kisutch
Common murre,Common murre,Uria aalge
Common Murre,Common murre,Uria aalge
Common Murres,Common murre,Uria aalge
Copper rockfish,Copper rockfish,Sebastes caurinus
Copper Rockfish,Copper Rockfish,Sebastes caurinus
Salmo clarki,Cutthroat trout,Salmo clarki
Double-crested cormorant,Double-crested cormorant,Phalacrocorax auritus
Dungeness crab,Dungeness crab,Metacarcinus magister
Glaucous-winged gull,Glaucous-winged gull,Larus glaucescens
Glaucous-winged Gull,Glaucous-winged gull,Larus glaucescens
Harbor seal,Harbor seal,Phoca vitulina
Megaptera novaeangliae,Humpback whale,Megaptera novaeangliae
Kelp greenling,Kelp greenling,Hexagrammos decagrammus
Lingcod,Lingcod,Ophiodon elongatus
Mammalia,Mammalia,Mammalia
Marbled Murrelet,Marbled murrelet,Brachyramphus marmoratus
Orcinus orca,Orca,Orcinus orca
Orcinus Orca,Orca,Orcinus orca
Pacific cod,Pacific cod,Gadus macrocephalus
Pacific hake,Pacific hake,Merluccius productus
Merluccius productus,Pacific hake,Merluccius productus
Clupea pallasii,Pacific herring,Clupea pallasii
Pacific herring,Pacific herring,Clupea pallasii
Ammodytes hexapterus,Pacific sand lance,Ammodytes hexapterus
Sand sole,Pacific sand sole,Psettichthys melanostictus
Pacific staghorn sculpin,Pacific staghorn sculpin,Leptocottus armatus
Pacific Staghorn sculpin,Pacific staghorn sculpin,Leptocottus armatus
Pacific Tomcod,Pacific tomcod,Microgadus proximus
Staghorn sculpin,Pacific staghorn sculpin,Leptocottus armatus
Pigeon guillemot,Pigeon guillemot,Cepphus columba
Pink salmon,Pink salmon,Oncorhynchus gorbuscha
Quillback rockfish,Quillback rockfish,Sebastes maliger
Salmo gairdnerii,Rainbow trout,Salmo gairdnerii
Rhinoceros Auklet,Rhinoceros auklet,Cerohinca monocerata
Rock Sole,Rock sole,Lepidopsetta bilineata
Oncorhynchus nerka,Sockeye salmon,Oncorhynchus nerka
Dogfish,Spiny dogfish,Squalus acanthias
Spiny dogfish,Spiny dogfish,Squalus acanthias
spiny dogfish,Spiny dogfish,Squalus acanthias
Squid,Squid,subclass Coleoidea
Steller sea lion,Steller sea lion,Eumetopias jubatus
Eumetopiad jubatus,Steller sea lion,Eumetopias jubatus
Striped perch,Striped perch,Embiotoca lateralis
Surf scoter,Surf scoter,Melanitta perspicillata
Western Grebe,Western grebe,Aechmophorus occidentalis
Yellowtail rockfish,Yellowtail rockfish,Sebastes flavidus
Salish sea female,Harbor seal,Phoca vitulina
Salish sea male,Harbor seal,Phoca vitulina
