atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
FVS,adult,Lingcod,2004,HE,herring,herring,55.5,0.07142857142857142,48.50641666666667,-123.19936111111112,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,73.30166666666666,0.21428571428571427,48.50641666666667,-123.19936111111112,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,44.854838709677416,0.18518518518518517,48.555055555555555,-122.99733333333333,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,65.97368421052632,0.07407407407407407,48.555055555555555,-122.99733333333333,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,46.15,0,48.58002777777778,-123.02875,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,74.5,0.045454545454545456,48.58002777777778,-123.02875,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,46.84848484848485,0.13043478260869565,48.54125,-122.74991666666666,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,67.76923076923077,0.043478260869565216,48.54125,-122.74991666666666,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,41.69599173553719,0.14935064935064934,48.53744444444444,-122.96352777777778,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,64.56886363636363,0.03896103896103896,48.53744444444444,-122.96352777777778,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,43.47222222222222,0.13333333333333333,48.55336111111111,-122.98258333333334,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,70.42592592592592,0.15555555555555556,48.55336111111111,-122.98258333333334,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,75.06714285714285,0.2857142857142857,48.555055555555555,-122.99733333333333,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,45.17142857142857,0.01818181818181818,48.55683333333333,-123.00975,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,71.44666666666667,0.12727272727272726,48.55683333333333,-123.00975,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,73.93774210526315,0.47368421052631576,48.629083333333334,-123.1303611111111,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,48.785714285714285,0.06557377049180328,48.598888888888894,-122.96386111111111,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,67.5625,0.14754098360655737,48.598888888888894,-122.96386111111111,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,adult,Lingcod,2004,HE,herring,herring,50,0,48.591722222222224,-123.0303611111111,Beaudreau,2007,cm,stomachs,weight_gr,NA
FVS,juvenile,Lingcod,2004,HE,herring,herring,65,0,48.591722222222224,-123.0303611111111,Beaudreau,2007,cm,stomachs,weight_gr,NA
CI,adult,chinook,2017,HE,Fish,Herring,690,0.6666666666666666,48.440527777777774,-123.21683333333334,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CI,adult,chinook,2017,HE,Fish,Herring,690,0.3333333333333333,48.383583333333334,-123.44480555555556,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CI,adult,chinook,2017,HE,Other,Herring,690,0.009523809523809525,48.383583333333334,-123.44480555555556,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
