file_name,reference
DOG_Jones_1976,"Jones, B. C. (1976). Feeding, growth, and reproduction of spiny dogfish.(Squalus Acanthias L.) in British Columbia waters.--(Doctoral dissertation, Simon Fraser University. Theses (Dept. of Biological Sciences))."
FISH_Barraclough_et_al_1968,"Barraclogh, W. E. (1968). Data record. Number, size composition, weight, and food of larval and juvenile fish caught with a two-boat surface trawl in Saanich Inlet April 23-July 21, 1968. Fish. Res. Board Can. MS Rep., 1004, 1-305."
FISH_Barraclough_Fulton_1967,"Barraclough, W. E., Canadian Committee on Oceanography, Fisheries Research Board of Canada. Biological Station (Nanaimo, BC), Fulton, J. D., & Pacific Oceanographic Group (Canada). (1967). Data Record: Number, Size Composition and Food of Larval and Juvenile Fish Caught with a Two-boat Surface Trawl in the Strait of Georgia, July 4-8, 1966. Nanaimo, BC: Pacific Oceanographic Group."
Fish_Bax_et_al_1978,"University of Washington. Fisheries Research Institute, & Bax, N. J. (1978). Salmonid Outmigration Studies in Hood Canal: Final Report, Phase III, January to July 1977. The Institute."
Fish_Fresh_et_al_1979,"Fresh, K. L., Rabin, D., Simenstad, C., Salo, E. O., Garrison, K., & Matheson, L. (1979). Fish ecology studies in the Nisqually Reach area of southern Puget Sound, Washington. Fisheries Research Institute publication FRI-UW-7904. University of Washington, School of Fisheries, Seattle."
Fish_Hueckel_Buckley_1987,"Hueckel, G. J., & Buckley, R. M. (1987). The influence of prey communities on fish species assemblages on artificial reefs in Puget Sound, Washington. Environmental Biology of Fishes, 19(3), 195-214."
Fish_Miller_et_al_1980_B,"Cross, J. N., Steinfort, S. N., Fresh, K. L., Miller, B. S., & Simenstad, C. A. (1980). Nearshore fish and macroinvertebrate assemblages along the Strait of Juan de Fuca including food habits of the common nearshore fish."
Fish_Peeling_et_al_1976,"Peeling, T. J., Salazar, M. H., Grovhoug, J. G., & Goforth, H. W. (1976). Trident Biological Survey: July 1976 (No. NUC-TP-510-SUPPL-1). NAVAL UNDERSEA CENTER SAN DIEGO CALIF."
FISH_Robinson_1969,"Robinson, D. G. (1969). Data Record: Number, Size Composition, Weight and Food of Larval and Juvenile Fish Caught with a Two-boat Surface Trawl in the Strait of Georgia July 4-6, 1967. Pacific Oceanographic Group."
FISH_Robinson_et_al_1968,"Robinson, D. G., Barraclough, W. E., & Fulton, J. D. (1968). Number, size composition, weight and food of larval and juvenile fish caught with a two-boat surface trawl in the Strait of Georgia June 5-9, 1967. Fish Res Board Can Manuscr Rep, 972."
Fish_Simenstad_et_al_1979,"Simenstad, C. A. (1979). Food web relationships of northern Puget Sound and the Strait of Juan de Fuca: A synthesis of the available knowledge. The Agency."
HSL_Bromaghin_et_al_2013,"Bromaghin, J. F., Lance, M. M., Elliott, E. W., Jeffries, S. J., Acevedo-Gutiérrez, A., & Kennish, J. M. (2013). New insights into the diets of harbor seals (Phoca vitulina) in the Salish Sea revealed by analysis of fatty acid signatures. Fishery Bulletin, 111(1), 13."
HSL_CSL_Everrit_et_al_1981,"Everitt, R. D., Gearin, P. J., Skidmore, J. S., & DeLong, R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound, Washington. The Murrelet, 62(3), 83-86."
HSL_Howard_et_al_2013,"Howard, S., Lance, M. M., Jeffries, S. J., & Acevedo-Gutierrez, A. (2013). Fish consumption by harbor seals (Phoca vitulina) in the San Juan Islands, Washington. Fishery Bulletin, 111(1), 27."
HSL_Lance_&_Jeffries_2006,"Lance, M. M., & Jeffries, S. J. (2006). Estimating importance of rockfish, lingcod and other bottomfish in the diet of harbor seals in the San Juan Islands. Contract Report to SeaDoc Society Research Agreement, (K004431-22)."
HSL_Lance_&_Jeffries_2007,"Lance, M. M., & Jeffries, S. J. (2007). Temporal and spatial variability of harbor seal diet in the San Juan Island archipelago. Contract Report to SeaDoc Society Research Agreement, (K004431-25)."
HSL_Lance_&_Jeffries_2009,"Lance, M. M., & Jeffries, S. J. (2009). Harbor seal diet in Hood Canal, south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division."
HSL_Lance_et_al_2012,"Lance, M. M., Chang, W. Y., Jeffries, S. J., Pearson, S. F., & Acevedo-Gutierrez, A. (2012). Harbor seal diet in northern Puget Sound: implications for the recovery of depressed fish stocks. Marine Ecology Progress Series, 464, 257-271."
HSL_Luxa_2008,"Luxa, K. (2008). Food habits of harbor seals (Phoca vitulina) in two estuaries in northern Puget Sound, Washington."
HSL_Scheffer_&_Perry_1931,"Sperry, C. C. (1931). Food habits of the Pacific harbor seal, Phoca richardii. Journal of Mammalogy, 12(3), 214-226."
HSL_Scheffer_1928,"Theo. H. Scheffer. (1928). Precarious status of the seal and sea-lion on our northwest coast. Journal of Mammalogy, 10-16."
HSL_Thomas_et_al_2011,"Thomas, A. C., Lance, M. M., Jeffries, S. J., Miner, B. G., & Acevedo-Gutierrez, A. (2011). Harbor seal foraging response to a seasonal resource pulse, spawning Pacific herring. Marine Ecology Progress Series, 441, 225-239."
HSL_Voelker_2018,"Voelker, M. (2018). Cross-sectional scat sampling reveals intrapopulation feeding diversity in a marine predator."
ORC_Ford_et_al_1998,"Ford, J. K., Ellis, G. M., Barrett-Lennard, L. G., Morton, A. B., Palm, R. S., & Balcomb III, K. C. (1998). Dietary specialization in two sympatric populations of killer whales (Orcinus orca) in coastal British Columbia and adjacent waters. Canadian Journal of Zoology, 76(8), 1456-1471."
Rockfish_Murie_1991,"Murie, D. J. (1991). Comparative ecology and interspecific competition between the sympatric congeners Sebastes caurinus (Copper Rockfish) and S. maliger (Quillback Rockfish)(Doctoral dissertation)."
Rockfish_Patten_1973,"Patten, B. G. (1973). Biological information on copper rockfish in Puget Sound, Washington. Transactions of the American Fisheries Society, 102(2), 412-416."
Rockfish_Washington_et_al_1978,"Washington, P. M., Gowan, R. E., & Ito, D. H. (1978). A biological report on eight species of rockfish (Sebastes spp.) from Puget Sound, Washington, Northwest and Alaska Fisheries Center Processed Report. Seattle, WA: US Dept. of Commerce, Northwest and Alaska Fisheries Center."
Salmon_Fresh_et_al_1981,"Fresh, K. L., Cardwell, R. D., & Koons, R. R. (1981). Food habits of Pacific salmon, baitfish and their potential competitors and predators in the marine waters of Washington, August 1978 to September 1979. State of Washington, Department of Fisheries."
Salmon_Healey_et_al_1978,"Healey, M. C. (1978). The distribution, abundance, and feeding habits of juvenile Pacific salmon in Georgia Strait, British Columbia. Fisheries and Marine Service, Technical Report 788. British Columbia, Canada."
Salmon_Prakash_1962,"Prakash, A. (1962). Seasonal changes in feeding of coho and chinook (spring) salmon in southern British Columbia waters. Journal of the Fisheries Board of Canada, 19(5), 851-866."
Salmon_Simenstad_&_Kinney_1978,"Simenstad, C. A., & Kinney, W. J. (1978). Trophic relationships of outmigrating chum salmon in Hood Canal, Washington, 1977. University of Washington, Fisheries Research Institute."
SB_Cyra_1982,"Cyra, T. (1982). The relationship between tide height, time of day, and Pigeon Guillemot numbers on Protection Island, Washington (Doctoral dissertation, Washington Game Department)."
SB_Lance_&_Pearson_2012,"Lance, M. M., & Pearson, S. F. (2012). Assembling and Assessing Seabird Diet Information in the Salish Sea. Washington Department of Fish and Wildlife. Wildlife Research Division, Olympia, Washington."
SB_Lance_&_Thompson_2005,"Lance, M. M., Thompson, C. W., & Burger, A. E. (2005). Overlap in diets and foraging of Common Murres (Uria aalge) and Rhinoceros Auklets (Cerorhinca monocerata) after the breeding season. The Auk, 122(3), 887-901."
SB_Robertson_1972,"Predation by fish-eating birds on stocks of the pacific herring, clupea pallasii, in the gulf islands of british columbia"
SB_Robertson_1974,"Robertson, I. (1974). The food of nesting double-crested and pelagic cormorants at Mandarte Island, British Columbia, with notes on feeding ecology. The Condor, 76(3), 346-348."
SB_Schrimpf_et_al_2012,"Schrimpf, M. B., Parrish, J. K., & Pearson, S. F. (2012). Trade-offs in prey quality and quantity revealed through the behavioral compensation of breeding seabirds. Marine Ecology Progress Series, 460, 247-259."
SB_Thompson_et_al_2002,"Thompson, C. W., Donelan, E. R., Lance, M. M., & Edwards, A. E. (2002). Diet of Caspian Terns in Commencement Bay, Washington. Waterbirds, 78-85."
SB_Vermeer_1982,"Vermeer, K. (1982). Comparison of the diet of the glaucous-winged gull on the east and west coasts of Vancouver Island. The Murrelet, 80-85."
SB_Wilson_1977,"Wilson, U. W. (1977). A study of the biology of the Rhinoceros Auklet on Protection Island, Washington (Doctoral dissertation, University of Washington)."
SP_Vermeer_1981,"Vermeer, K. (1981). Food and populations of surf scoters in British Columbia. Wildfowl, 32(32), 106-116."
