year,cherry_point,other_herring,all_herring
1973,14998,0,14998
1974,13963,0,13963
1975,10337,2345,12682
1976,11844,8263,20107
1977,11097,8639,19736
1978,10973,5485,16458
1979,9957,6338,16295
1980,9329,12945,22274
1981,6219,10051,16270
1982,5342,10338,15680
1983,8063,10813,18876
1984,5901,11768,17669
1985,5760,11333,17093
1986,5671,10165,15836
1987,3108,11224,14332
1988,4428,8573,13001
1989,4003,9595,13598
1990,4998,10440,15438
1991,4624,10346,14970
1992,4009,8565,12574
1993,4894,10464,15358
1994,6324,9005,15329
1995,4105,11410,15515
1996,3095,9874,12969
1997,1574,9104,10678
1998,1322,9421,10743
1999,1266,14092,15358
2000,808,12230,13038
2001,1241,15781,17022
2002,1330,16391,17721
2003,1611,13405,15016
2004,1734,10273,12007
2005,2010,9311,11321
2006,2216,15549,17765
2007,2169,10105,12274
2008,1352,10182,11534
2009,1341,12113,13454
2010,774,7186,7960
2011,1301,13404,14705
2012,1120,7397,8517
2013,908,6424,7332
2014,1003,8794,9797
2015,524,12722,13246
2016,515.6299748,11676.25157,12191.88154
