file_name,year,publication_yr,author,sum_test
Birds_SB_SP_MoniqueLance.xlsx,2001,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2007,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2011,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2009,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2010,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2010,2012,Lance_&_Pearson,>100
Birds_SB_SP_MoniqueLance.xlsx,2008,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2006,2012,Lance_&_Pearson,<100
Birds_SB_SP_MoniqueLance.xlsx,2005,2012,Lance_&_Pearson,<100
DOG_Brodeur_et_al_2009.xlsx,1998,2009,Brodeur,<100
DOG_Jones_1976.xlsx,1974,1977,Jones,<100
FISH_Barraclough_et_al_1968.xlsx,1968,1968,Barraclough,<100
FISH_Barraclough_et_al_1968.xlsx,1968,1968,Barraclough,>100
FISH_Barraclough_et_al_1968.xlsx,1968,1968,Barraclough,100
FISH_Barraclough_Fulton_1967.xlsx,1966,1967,Barraclough,>100
FISH_Barraclough_Fulton_1967.xlsx,1966,1967,Barraclough,<100
FISH_Barraclough_Fulton_1967.xlsx,1966,1967,Barraclough,NA
Fish_Bax_et_al_1978.xlsx,1977,1978,Bax,<100
Fish_Bax_et_al_1978.xlsx,1977,1978,Bax,NA
Fish_Bax_et_al_1978.xlsx,1977,1978,Bax,>100
Fish_Brodeur_et_al_1987_C.xlsx,1981,1987,Richard D. Brodeur,<100
Fish_Brodeur_et_al_1987_C.xlsx,NA,1987,Richard D. Brodeur,<100
Fish_Brodeur_et_al_1987_C.xlsx,1982,1987,Richard D. Brodeur,100
Fish_Brodeur_et_al_1987_C.xlsx,1983,1987,Richard D. Brodeur,>100
Fish_Brodeur_et_al_1987_C.xlsx,1984,1987,Richard D. Brodeur,100
Fish_Brodeur_et_al_1987_C.xlsx,NA,1987,Richard D. Brodeur,>100
Fish_Brodeur_et_al_1987_C.xlsx,NA,NA,NA,NA
Fish_Brodeur_et_al_1987_D.xlsx,1981,1987,Brodeur,>100
Fish_Brodeur_et_al_1987_D.xlsx,1980,1987,Brodeur,<100
Fish_Brodeur_et_al_1987_D.xlsx,1982,1987,Brodeur,<100
Fish_Brodeur_et_al_1987_D.xlsx,1983,1987,Brodeur,>100
Fish_Brodeur_et_al_1987_D.xlsx,1984,1987,Brodeur,>100
Fish_Brodeur_et_al_1987_D.xlsx,1979,1987,Brodeur,>100
Fish_Brodeur_et_al_1987_D.xlsx,1981,1987,Brodeur,<100
Fish_Brodeur_et_al_1987_D.xlsx,1983,1987,Brodeur,<100
Fish_Brodeur_et_al_1987_D.xlsx,1984,1987,Brodeur,<100
Fish_Brodeur_et_al_1987_D.xlsx,1979,1987,Brodeur,<100
Fish_Brodeur_et_al_1987_D.xlsx,1981,1987,Brodeur,100
Fish_Brodeur_et_al_1987_D.xlsx,1982,1987,Brodeur,>100
Fish_Fresh_et_al_1979.xlsx,1978,1979,K. L. Fresh,<100
Fish_Fresh_et_al_1979.xlsx,NA,1979,K. L. Fresh,100
Fish_Fresh_et_al_1979.xlsx,NA,1979,K. L. Fresh,>100
Fish_Fresh_et_al_1979.xlsx,NA,1979,K. L. Fresh,<100
Fish_Fresh_et_al_1979.xlsx,1977,1979,K. L. Fresh,<100
Fish_Fresh_et_al_1979.xlsx,1977,1979,K. L. Fresh,NA
Fish_Fresh_et_al_1979.xlsx,1978,1979,K. L. Fresh,NA
Fish_Fresh_et_al_1979.xlsx,1978,1979,K. L. Fresh,>100
Fish_Fresh_et_al_1979.xlsx,1977,1979,K. L. Fresh,>100
Fish_Hueckel_Buckley_1987.xlsx,1976,1987,Hueckel,<100
Fish_Hueckel_Buckley_1987.xlsx,1976,1987,Hueckel,>100
Fish_Hueckel_Buckley_1987.xlsx,1976,1987,Hueckel,100
Fish_Peeling_et_al_1976.xlsx,1975,1976,Peeling,>100
FISH_Robinson_1969.xlsx,1967,1969,Robinson,<100
FISH_Robinson_1969.xlsx,1967,1969,Robinson,>100
FISH_Robinson_1969.xlsx,1967,1969,Robinson,NA
FISH_Robinson_1969.xlsx,1967,1969,Robinson,100
FISH_Robinson_et_al_1968.xlsx,1967,1968,Robinson,<100
FISH_Robinson_et_al_1968.xlsx,1967,1968,Robinson,>100
FISH_Robinson_et_al_1968.xlsx,1967,1968,Robinson,100
Fish_Simenstad_et_al_1979.xlsx,1975,1979,Simenstad,<100
Fish_Simenstad_et_al_1979.xlsx,1975,1979,Simenstad,100
Fish_Simenstad_et_al_1979.xlsx,1975,1979,Simenstad,>100
FMM_Outram_&_Haegle_1972.xlsx,1970,1972,Outram,>100
FMM_Tanasichuk_et_al_1991.xlsx,1985,1991,Tanasichuck,<100
FMM_Tanasichuk_et_al_1991.xlsx,1986,1991,Tanasichuck,<100
FMM_Tanasichuk_et_al_1991.xlsx,1987,1991,Tanasichuck,<100
FMM_Tanasichuk_et_al_1991.xlsx,1988,1991,Tanasichuck,<100
FMM_Tanasichuk_et_al_1991.xlsx,1989,1991,Tanasichuck,<100
FMM_Tanasichuk_et_al_1991.xlsx,1983,1991,Tanasichuck,<100
FMM_Westrheim_1977.xlsx,1975,1977,Westrheim,100
FMM_Westrheim_1977.xlsx,1976,1977,Westrheim,>100
FMM_Westrheim_1977.xlsx,1975,1977,Westrheim,<100
HSL_Bromaghin_et_al_2013.xlsx,2007,2013,Bromaghin,<100
HSL_CSL_Akmajian_2016.xlsx,2011,2016,Akmajian,>100
HSL_CSL_Everrit_et_al_1981.xlsx,1979,1981,Everitt,>100
HSL_CSL_Everrit_et_al_1981.xlsx,1978,1981,Everitt,>100
HSL_Howard_et_al_2013.xlsx,2007,2013,Howard,<100
HSL_Lance_&_Jeffries_2006.xlsx,2005,2006,Lance,>100
HSL_Lance_&_Jeffries_2007.xlsx,2006,2007,Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,2006,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,1998,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,1999,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,2000,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,2001,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,2003,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,2004,2009,Monique M. Lance,>100
HSL_Lance_&_Jeffries_2009.xlsx,2005,2009,Monique M. Lance,>100
